app_id,status,name,type,required_age,platforms,metacritic_score,category_ids,categories,genre_ids,genres,recommendations
42849,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42850,True,Arsenal of Democracy: A Hearts of Iron Game,game,0,windows,NA,2:1,Single-player:Multi-player,2,Strategy,241
42860,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42870,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42881,True,Majesty 2: Kingmaker,dlc,0,windows,NA,2:1:21,Single-player:Multi-player:Downloadable Content,28:2,Simulation:Strategy,NA
42890,True,Sword of the Stars: Complete Collection,game,0,windows,75,2:1:49:36,Single-player:Multi-player:PvP:Online PvP,2,Strategy,390
42900,True,Hearts of Iron III: Semper Fi,game,0,windows,65,1:9,Multi-player:Co-op,2,Strategy,NA
42901,False,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42902,True,Hearts of Iron III Semper Fi: Dies Irae Götterdämmerung,dlc,0,windows,65,2:1:21,Single-player:Multi-player:Downloadable Content,2,Strategy,NA
42903,True,Hearts of Iron III: For the Motherland,dlc,0,windows,NA,2:1:9:21,Single-player:Multi-player:Co-op:Downloadable Content,2,Strategy,NA
42904,True,Hearts of Iron III: Mega German Spritepack,dlc,0,windows,NA,2:1:9:21,Single-player:Multi-player:Co-op:Downloadable Content,2,Strategy,NA
